"day","area","area_id","latitude","longitude","unique_users"
2021-12-25,"Adda Martesana",100001,5050171.18121141,541223.862031536,283095
2021-12-25,"Agrate Brianza",108001,5047019.10577627,527381.4061614,11185
2021-12-25,"Albavilla",13003,5072190.10196782,514646.344005163,2734.33333333333
2021-12-25,"Alta Val Camonica",100002,5103183.58479817,603619.492035382,10174.6666666667
2021-12-25,"Alta Valtellina",100003,5152055.70628961,590475.999207332,31225.3333333333
2021-12-25,"Alto milanese",100004,5048679.74893391,490021.744499627,173516.333333333
2021-12-25,"Aprica",14004,5111658.00882182,588929.533581862,2045.66666666667
2021-12-25,"Arcore",108004,5052606.91303028,525058.679191802,14568
2021-12-25,"Assago",15011,5027973.78706775,510277.955570607,8526.66666666667
2021-12-25,"Bagnatica",16018,5056666.80369908,560847.417986092,5351
2021-12-25,"Bagolino",17010,5075484.54661869,613621.759162633,3573.66666666667
2021-12-25,"Baranzate",15250,5041467.04709408,509134.815350579,5389
2021-12-25,"Basiglio",15015,5021751.62291378,512880.428181061,4546.66666666667
2021-12-25,"Bassa Valtellina",200001,5126676.4230564,564967.541363986,49577
2021-12-25,"Bellagio-Oliveto Lario",13250,5086052.16816451,520845.725890299,1694.66666666667
2021-12-25,"Bellano-Perledo",97008,5096552.60749212,522309.987826649,3925.66666666667
2021-12-25,"Bergamo",16,5067287.42793961,558656.382772464,738060.666666667
2021-12-25,"Bergamo",16024,5067287.42793961,558656.382772464,76723.6666666667
2021-12-25,"Binasco",15024,5019833.94218753,507834.850424013,6668
2021-12-25,"Bollate",15027,5043244.51354304,509179.347238014,23403.6666666667
2021-12-25,"Borgo Virgilio",20071,4994289.25656644,640532.538808696,8100.66666666667
2021-12-25,"Bormio",14009,5147101.00405533,605348.130350529,3316
2021-12-25,"Brembate",16037,5050192.80058632,543327.159446007,5691.33333333333
2021-12-25,"Brescia",17,5070546.4172585,610845.940224952,857181
2021-12-25,"Brescia",17029,5070546.4172585,610845.940224952,133578.333333333
2021-12-25,"Bresso",15032,5042651.07130136,514753.713774894,14382.6666666667
2021-12-25,"Busto Arsizio",12026,5050942.62227033,488446.669745315,55571.3333333333
2021-12-25,"Cambiago",15044,5046644.566952,533304.911706607,5215.33333333333
2021-12-25,"Campodolcino",14012,5138871.94116921,527154.033442267,804.666666666667
2021-12-25,"Cardano Al Campo",12032,5054710.61324685,482271.871973483,8905.66666666667
2021-12-25,"Carpiano",15050,5020820.96171291,521367.775895724,3674.66666666667
2021-12-25,"Casalmaggiore",19021,4982412.37582736,611577.698700174,16530.6666666667
2021-12-25,"Caspoggio",14013,5123809.11560252,566576.020136841,281
2021-12-25,"Cassano D'Adda",15059,5041554.31009362,540723.393971418,21383.6666666667
2021-12-25,"Castenedolo",17043,5036158.48690832,601483.700804724,6722
2021-12-25,"Castiglione Delle Stiviere",20017,5027318.15907584,616547.793830234,13426.3333333333
2021-12-25,"Castione Della Presolana",16064,5084286.02768149,580280.411482419,4451.33333333333
2021-12-25,"Castronno-Brunello",12047,5067189.8943576,485151.371124831,6439.33333333333
2021-12-25,"Cavenago Di Brianza",108017,5048014.78130679,532456.478539766,3809
2021-12-25,"Centro Valle Intelvi",13254,5088545.40172028,504940.00041637,3722.33333333333
2021-12-25,"Cernobbio-Moltrasio",13065,5077138.06344677,506469.772152974,4114.33333333333
2021-12-25,"Cernusco Sul Naviglio",15070,5041278.06359903,525842.86731051,30174.3333333333
2021-12-25,"Cerro Maggiore",15072,5048831.13387201,496208.69366456,9993
2021-12-25,"Cesano Maderno",108019,5052771.31499025,511439.114098761,34906.6666666667
2021-12-25,"Chiavenna",14018,5129656.08526541,530678.09687926,6725.66666666667
2021-12-25,"Chiesa In Valmalenco",14019,5123740.57768586,565476.990661387,3210
2021-12-25,"Cinisello Balsamo",15077,5045034.18125727,516717.026908413,51319.3333333333
2021-12-25,"Clusone",16077,5081940.75779939,573683.393122867,12778.3333333333
2021-12-25,"Colico",97023,5109260.68514978,528874.538893343,9108.66666666667
2021-12-25,"Cologno Monzese",15081,5041706.42092303,521725.790902128,32186
2021-12-25,"Como",13,5087333.7368626,511581.777058834,406252.666666667
2021-12-25,"Como",13075,5087333.7368626,511581.777058834,64329.6666666667
2021-12-25,"Concorezzo",108021,5048514.09450035,526204.842725119,8920.33333333333
2021-12-25,"Corbetta",15085,5034715.27638179,493753.092710873,13993.6666666667
2021-12-25,"Cornaredo",15087,5038684.03650626,502011.392602302,13392
2021-12-25,"Corteno Golgi",17063,5113264.96029823,595994.773223533,3726
2021-12-25,"Crema",19035,5023487.11442057,553839.086670176,25630.3333333333
2021-12-25,"Cremona",19,5008009.13512504,581419.807309953,247781.333333333
2021-12-25,"Cremona",19036,5008009.13512504,581419.807309953,46044
2021-12-25,"Cusago",15097,5032703.17469413,502698.862789512,5262
2021-12-25,"Dalmine",16091,5055028.52313295,546903.37155864,17704
2021-12-25,"Darfo Boario Terme",17065,5081779.908133,591616.37721385,25811
2021-12-25,"Dervio",97030,5102600.54137087,523547.730911731,3922.33333333333
2021-12-25,"Desenzano Del Garda",17067,5036258.24438915,620297.696327753,26870.3333333333
2021-12-25,"Desio",108023,5051661.63369384,516226.011712425,28505
2021-12-25,"Domaso-Vercana",13089,5110883.71328609,525652.4149119,1753.66666666667
2021-12-25,"Dongo",13090,5107744.55819955,521561.851771216,3711.33333333333
2021-12-25,"Erba",13095,5072929.21808431,516836.889682688,16701
2021-12-25,"Erbusco",17069,5049899.23848506,575823.533483341,6592.66666666667
2021-12-25,"Ferno",12068,5051207.38194459,480862.424135001,6170
2021-12-25,"Gallarate",12070,5056281.42893266,483889.273673302,39347.3333333333
2021-12-25,"Garbagnate Milanese",15105,5047079.47166574,506243.388251051,19383.3333333333
2021-12-25,"Garbagnate Monastero",97037,5068854.22325477,523546.694046244,3065.33333333333
2021-12-25,"Gardone Riviera",17074,5052875.45338385,621550.839686897,1603.33333333333
2021-12-25,"Gargnano",17076,5060744.11014791,629530.030270797,3901.33333333333
2021-12-25,"Grandate",13110,5069070.23492301,504496.634082058,2903
2021-12-25,"Grandola Ed Uniti-Carlazzo",13111,5097695.01616065,515839.823258551,5495.66666666667
2021-12-25,"Grassobbio",16117,5056218.83638822,556336.535464602,5156.33333333333
2021-12-25,"Gravedona Ed Uniti",13249,5111583.06256129,514236.021293448,3924
2021-12-25,"Guardamiglio",98029,4995383.97802758,553475.378266884,3343
2021-12-25,"Idro",17082,5065972.56398481,615009.463721405,2297
2021-12-25,"Iseo",17085,5056787.17753687,581706.217183796,9756.33333333333
2021-12-25,"Lago Maggiore",200006,5088678.73697572,471647.623850378,74122.6666666667
2021-12-25,"Lago d'Iseo",200005,5065593.3102887,583308.713112292,85035.3333333333
2021-12-25,"Lago di Como",200002,5093165.9544575,520513.391085809,197629
2021-12-25,"Lago di Garda",200003,5057925.03110847,631354.318080054,131652.333333333
2021-12-25,"Lago di Varese",200004,5073626.73256714,479541.315165458,96989.3333333333
