"day","area","area_id","latitude","longitude","unique_users"
2022-01-06,"Adda Martesana",100001,5050171.18121141,541223.862031536,311641.333333333
2022-01-06,"Agrate Brianza",108001,5047019.10577627,527381.4061614,11675.3333333333
2022-01-06,"Albavilla",13003,5072190.10196782,514646.344005163,2319.33333333333
2022-01-06,"Alta Val Camonica",100002,5103183.58479817,603619.492035382,18174
2022-01-06,"Alta Valtellina",100003,5152055.70628961,590475.999207332,44808.6666666667
2022-01-06,"Alto milanese",100004,5048679.74893391,490021.744499627,190314.333333333
2022-01-06,"Aprica",14004,5111658.00882182,588929.533581862,3770.33333333333
2022-01-06,"Arcore",108004,5052606.91303028,525058.679191802,15024.3333333333
2022-01-06,"Assago",15011,5027973.78706775,510277.955570607,9919
2022-01-06,"Bagnatica",16018,5056666.80369908,560847.417986092,5652.66666666667
2022-01-06,"Bagolino",17010,5075484.54661869,613621.759162633,4717.33333333333
2022-01-06,"Baranzate",15250,5041467.04709408,509134.815350579,6191.33333333333
2022-01-06,"Basiglio",15015,5021751.62291378,512880.428181061,6322
2022-01-06,"Bassa Valtellina",200001,5126676.4230564,564967.541363986,57697
2022-01-06,"Bellagio-Oliveto Lario",13250,5086052.16816451,520845.725890299,1551.33333333333
2022-01-06,"Bellano-Perledo",97008,5096552.60749212,522309.987826649,4879.66666666667
2022-01-06,"Bergamo",16,5067287.42793961,558656.382772464,832868
2022-01-06,"Bergamo",16024,5067287.42793961,558656.382772464,89542
2022-01-06,"Binasco",15024,5019833.94218753,507834.850424013,8006.66666666667
2022-01-06,"Bollate",15027,5043244.51354304,509179.347238014,27060
2022-01-06,"Borgo Virgilio",20071,4994289.25656644,640532.538808696,8622.66666666667
2022-01-06,"Bormio",14009,5147101.00405533,605348.130350529,5666.66666666667
2022-01-06,"Brembate",16037,5050192.80058632,543327.159446007,5976.66666666667
2022-01-06,"Brescia",17,5070546.4172585,610845.940224952,982499.666666667
2022-01-06,"Brescia",17029,5070546.4172585,610845.940224952,155259.333333333
2022-01-06,"Bresso",15032,5042651.07130136,514753.713774894,15839
2022-01-06,"Busto Arsizio",12026,5050942.62227033,488446.669745315,60903
2022-01-06,"Cambiago",15044,5046644.566952,533304.911706607,5259.33333333333
2022-01-06,"Campodolcino",14012,5138871.94116921,527154.033442267,1746.66666666667
2022-01-06,"Cardano Al Campo",12032,5054710.61324685,482271.871973483,9488.66666666667
2022-01-06,"Carpiano",15050,5020820.96171291,521367.775895724,3902.66666666667
2022-01-06,"Casalmaggiore",19021,4982412.37582736,611577.698700174,16979
2022-01-06,"Caspoggio",14013,5123809.11560252,566576.020136841,1150.66666666667
