"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32"
"1","133.00000000000000"," 92.00000000000000"," 85.00000000000000"," 98.00000000000000"," 73.00000000000000"," 63.00000000000000"," 62.00000000000000"," 51.00000000000000","                NA","                NA","                NA"," 55.00000000000000"," 53.00000000000000"," 56.00000000000000"," 60.00000000000000"," 54.00000000000000"," 46.00000000000000"," 52.00000000000000"," 50.00000000000000","101.00000000000000"," 77.00000000000000"," 42.00000000000000"," 47.00000000000000"," 31.00000000000000"," 20.00000000000000"," 28.00000000000000"," 53.00000000000000"," 61.00000000000000"," 83.00000000000000","100.00000000000000"," 64.00000000000000","106.00000000000000"
"2"," 58.00000000000000"," 66.00000000000000"," 56.00000000000000"," 67.00000000000000"," 62.00000000000000"," 45.00000000000000"," 58.00000000000000"," 40.00000000000000"," 67.00000000000000"," 55.00000000000000"," 56.00000000000000"," 66.00000000000000"," 67.00000000000000"," 55.00000000000000"," 51.00000000000000"," 58.00000000000000"," 40.00000000000000"," 38.00000000000000"," 50.00000000000000"," 77.00000000000000"," 50.00000000000000"," 37.00000000000000"," 50.00000000000000"," 35.00000000000000"," 18.00000000000000"," 21.00000000000000"," 44.00000000000000"," 64.00000000000000"," 45.00000000000000"," 38.00000000000000"," 43.00000000000000"," 57.00000000000000"
"3"," 56.00000000000000"," 71.00000000000000"," 73.00000000000000"," 75.00000000000000"," 72.00000000000000"," 48.00000000000000"," 62.00000000000000"," 43.00000000000000"," 49.00000000000000"," 46.00000000000000"," 36.00000000000000"," 57.00000000000000"," 56.00000000000000"," 47.00000000000000"," 62.00000000000000"," 55.00000000000000"," 35.00000000000000"," 26.00000000000000"," 30.00000000000000"," 38.00000000000000"," 24.00000000000000"," 28.00000000000000"," 54.00000000000000"," 38.00000000000000"," 15.00000000000000"," 32.00000000000000"," 50.00000000000000"," 49.00000000000000"," 59.00000000000000"," 57.00000000000000"," 64.00000000000000"," 66.00000000000000"
"4"," 53.00000000000000"," 72.00000000000000"," 69.00000000000000"," 55.00000000000000"," 61.00000000000000"," 44.00000000000000"," 32.00000000000000"," 31.00000000000000"," 44.00000000000000"," 43.00000000000000"," 29.00000000000000"," 52.00000000000000"," 54.00000000000000"," 47.00000000000000"," 65.00000000000000"," 52.00000000000000"," 34.00000000000000"," 22.00000000000000"," 24.00000000000000"," 35.00000000000000"," 21.00000000000000"," 25.00000000000000"," 49.00000000000000"," 38.00000000000000"," 12.00000000000000"," 29.00000000000000"," 35.00000000000000"," 44.00000000000000"," 54.00000000000000"," 41.00000000000000"," 41.00000000000000"," 53.00000000000000"
"5"," 54.00000000000000"," 73.00000000000000"," 71.00000000000000"," 62.00000000000000"," 56.00000000000000"," 38.00000000000000"," 36.00000000000000"," 44.00000000000000"," 33.00000000000000"," 48.00000000000000"," 35.00000000000000"," 45.00000000000000"," 53.00000000000000"," 51.00000000000000"," 52.00000000000000"," 59.00000000000000"," 40.00000000000000"," 36.00000000000000"," 20.00000000000000"," 31.00000000000000"," 28.00000000000000"," 34.00000000000000"," 48.00000000000000"," 27.00000000000000"," 15.00000000000000"," 36.00000000000000"," 43.00000000000000"," 52.00000000000000"," 59.00000000000000"," 65.00000000000000"," 43.00000000000000"," 64.00000000000000"
"6"," 72.09999999999999"," 71.30000000000000"," 80.80000000000000"," 87.40000000000001"," 66.90000000000001"," 62.80000000000000"," 50.50000000000000"," 43.90000000000000"," 53.50000000000000"," 56.50000000000000"," 33.30000000000000"," 51.30000000000000"," 59.90000000000000"," 55.40000000000000"," 64.50000000000000"," 61.90000000000000"," 40.50000000000000"," 41.30000000000000"," 43.70000000000000","135.19999999999999"," 77.59999999999999"," 44.90000000000000"," 51.50000000000000"," 23.60000000000000"," 21.00000000000000"," 33.40000000000000"," 54.00000000000000"," 56.90000000000000"," 70.09999999999999"," 69.59999999999999"," 61.90000000000000"," 72.90000000000001"
"7"," 26.00000000000000"," 36.00000000000000"," 34.00000000000000"," 39.00000000000000"," 34.00000000000000"," 30.00000000000000"," 20.00000000000000"," 23.00000000000000"," 39.00000000000000"," 36.00000000000000"," 33.00000000000000"," 38.00000000000000"," 63.00000000000000"," 32.00000000000000"," 32.00000000000000"," 34.00000000000000"," 30.00000000000000"," 40.00000000000000"," 38.00000000000000"," 43.00000000000000"," 33.00000000000000"," 32.00000000000000"," 37.00000000000000","  7.00000000000000"," 14.00000000000000"," 15.00000000000000"," 37.00000000000000"," 51.00000000000000"," 20.00000000000000"," 19.00000000000000"," 32.00000000000000"," 35.00000000000000"
"8"," 60.00000000000000"," 53.00000000000000"," 60.00000000000000"," 64.00000000000000"," 53.00000000000000"," 52.00000000000000"," 43.00000000000000"," 34.00000000000000"," 45.00000000000000"," 46.00000000000000"," 27.00000000000000"," 34.00000000000000"," 54.00000000000000"," 55.00000000000000"," 54.00000000000000"," 44.00000000000000"," 28.00000000000000"," 27.00000000000000"," 34.00000000000000"," 82.00000000000000"," 60.00000000000000"," 45.00000000000000"," 37.00000000000000"," 12.00000000000000"," 16.00000000000000"," 27.00000000000000"," 38.00000000000000"," 39.00000000000000"," 43.00000000000000"," 29.00000000000000"," 41.00000000000000"," 46.00000000000000"
"9","  8.00000000000000"," 16.00000000000000"," 12.00000000000000","  8.00000000000000"," 11.00000000000000"," 20.00000000000000","  6.00000000000000","  7.00000000000000"," 27.00000000000000"," 30.00000000000000"," 30.00000000000000"," 38.00000000000000"," 25.00000000000000"," 17.00000000000000"," 25.00000000000000"," 18.00000000000000"," 13.00000000000000","  9.00000000000000"," 11.00000000000000"," 12.00000000000000"," 24.00000000000000"," 22.00000000000000"," 27.00000000000000","  7.00000000000000","  5.00000000000000"," 15.00000000000000"," 14.00000000000000"," 10.00000000000000","  9.00000000000000"," 11.00000000000000"," 15.00000000000000"," 21.00000000000000"
"10"," 46.00000000000000","                NA","                NA","                NA"," 60.00000000000000"," 35.00000000000000"," 44.00000000000000"," 36.00000000000000"," 28.00000000000000"," 36.00000000000000"," 33.00000000000000"," 55.00000000000000"," 53.00000000000000"," 52.00000000000000"," 53.00000000000000"," 52.00000000000000"," 41.00000000000000"," 28.00000000000000"," 16.00000000000000"," 24.00000000000000"," 31.00000000000000"," 36.00000000000000"," 49.00000000000000"," 31.00000000000000","  7.00000000000000"," 18.00000000000000"," 46.00000000000000"," 55.00000000000000"," 51.00000000000000"," 54.00000000000000"," 39.00000000000000"," 57.00000000000000"
