"","mesh_nodes_x",""
"1"," 8.601599998787563","45.099366901560970"
"2"," 8.574299999999999","45.133141890808560"
"3"," 8.492399998787565","45.166916882056157"
"4"," 8.519699998787564","45.200691873803748"
"5"," 8.465099998787565","45.268241854298935"
"6"," 8.547000000000001","45.369566828041719"
"7"," 8.710799998787564","45.369566827541718"
"8"," 8.792699998787562","45.403341818289306"
"9"," 8.628899998787565","45.605991761774867"
"10"," 8.656199998787566","45.639766753522458"
"11"," 8.601599999999999","45.707316733517651"
"12"," 8.519699998787564","45.741091724765241"
"13"," 8.519699998787564","45.876191687755615"
"14"," 8.574299999999999","45.943741670750804"
"15"," 8.628899998787565","45.943741670250795"
"16"," 8.710799998787564","46.045066642493573"
"17"," 8.683499998787564","46.078841632241172"
"18"," 8.710799998787564","46.135133284487168"
"19"," 8.819999999999999","46.112616624488766"
"20"," 8.874600001212436","46.045066641493577"
"21"," 8.847300001212435","46.011291651745985"
"22"," 8.956500001212435","45.876191688755611"
"23"," 9.011099998787564","45.876191688755611"
"24"," 8.929199998787563","45.977516659998393"
"25"," 9.065700000000000","46.146391615236361"
"26"," 9.120299998787562","46.146391614736359"
"27"," 9.256799998787564","46.315266568474321"
"28"," 9.256799998787564","46.382816549969505"
"29"," 9.202199998787565","46.450366530464699"
"30"," 9.256800000000000","46.517916513459880"
"31"," 9.475199999999999","46.517916513459880"
"32"," 9.475200001212436","46.450366531464695"
"33"," 9.584400001212435","46.315266568474321"
"34"," 9.693599998787564","46.315266568474321"
"35"," 9.748199999999999","46.382816550469506"
"36"," 9.857399998787564","46.382816549969505"
"37"," 9.939299999999999","46.416591541217102"
"38","10.021200000000000","46.382816550469506"
"39","10.075799998787565","46.315266567474325"
"40","10.130399998787565","46.382816549969505"
"41","10.048499998787564","46.416591539717103"
"42"," 9.993899998787564","46.484141521212287"
"43","10.103100000000000","46.619241485702659"
"44","10.239599999999999","46.653016476450254"
"45","10.294200001212435","46.585466494455069"
"46","10.403400000000000","46.585466494955071"
"47","10.458000001212437","46.517916512959879"
"48","10.567200000000000","46.517916513459880"
"49","10.676400001212436","46.382816548969508"
"50","10.621799999999999","46.382816548469506"
"51","10.567200001212436","46.315266568474321"
"52","10.621800001212435","46.247716585979134"
"53","10.567200001212436","46.180166605483947"
"54","10.594500001212435","46.146391613736355"
"55","10.512600001212435","46.045066642493573"
"56","10.512600001212435","45.842416698008016"
"57","10.676399998787565","45.842416698008016"
"58","10.703700000000000","45.876191689255613"
"59","10.812899999999999","45.876191689255613"
"60","10.867500001212436","45.808641706260424"
"61","10.731000001212436","45.639766752522462"
"62","10.649100001212435","45.605991762774863"
"63","10.649100001212435","45.470891799784496"
"64","10.731000000000000","45.437116809536903"
"65","10.731000001212436","45.369566827541718"
"66","10.812899999999999","45.335791837294131"
"67","10.867500001212436","45.268241855298939"
"68","10.949400001212435","45.234466864551344"
"69","11.004000000000000","45.234466865051346"
"70","11.085900001212435","45.133141892308565"
"71","11.195100000000000","45.133141892808567"
"72","11.277000001212439","45.031816920065786"
"73","11.358900001212442","44.998041929318191"
"74","11.413499999999999","44.998041929818193"
"75","11.468086000000000","44.930500000000002"
"76","10.976699999999999","44.930491946323002"
"77","10.949400001212435","44.896716956075416"
"78","10.840199998787565","44.896716956075416"
"79","10.812899999999999","44.930491946323002"
"80","10.649099999999999","44.930491946323002"
"81","10.621800001212435","44.896716956075416"
"82","10.457999998787564","44.896716956075416"
"83","10.403400000000000","44.964266937070597"
"84","10.294199998787565","44.964266937570599"
"85","10.266900000000000","44.998041927818193"
"86","10.048499998787564","44.998041928318194"
"87"," 9.993899998787564","45.065591909813378"
"88"," 9.884700000000000","45.065591909313376"
"89"," 9.857400001212435","45.031816919065783"
"90"," 9.693599998787564","45.031816919065783"
"91"," 9.666300000000000","45.065591909313376"
"92"," 9.447899999999999","45.065591909313376"
"93"," 9.311400001212435","44.896716957075412"
"94"," 9.393300001212435","44.862941965327821"
"95"," 9.393300001212435","44.795391983832630"
"96"," 9.338700001212434","44.727842003337443"
"97"," 9.366000001212436","44.694067011589851"
"98"," 9.338700001212434","44.660292020842263"
"99"," 9.174899998787565","44.660292020842263"
"100"," 9.174899998787565","44.727842003337443"
"101"," 9.120299999999999","44.795391983332628"
"102"," 9.065699998787563","44.795391983832630"
"103"," 8.929200000000000","44.964266937070597"
"104"," 8.847299999999999","44.998041927818193"
"105"," 8.628899998787565","44.998041928318194"
"106"," 8.574313999999998","45.065590000000000"
"107","11.222400000606221","44.930491946573007"
"108"," 8.656200000404141","45.054333580230846"
"109"," 8.671773233365352","45.150822515254646"
"110"," 8.547000000000001","45.166916882556151"
"111"," 8.710799998787563","45.504666790032090"
"112"," 9.256800000000000","44.660292020842263"
"113"," 8.997449999393780","44.879829460451617"
"114"," 8.601599998383401","45.887450019171489"
"115"," 8.756299999236617","46.086347187148036"
"116"," 8.997449999393782","46.061954137617377"
"117"," 9.775499999999999","45.031816919065783"
"118","10.348799999797928","45.009300257650722"
"119","10.551626764152841","44.948172570269094"
"120","10.894800000000000","44.941750276238878"
"121","11.345250000909331","44.930491946698012"
"122","10.976700001847128","45.165330625126352"
"123","10.758299999999998","45.831158366925493"
"124","10.632650001212436","46.436943136706034"
"125","10.497026761036325","46.128710989005043"
"126"," 8.612564228005475","45.171438452844008"
"127"," 8.983799999999999","45.807055450615842"
"128"," 9.256800000000000","44.739100334419973"
"129"," 8.805440000558983","46.051071085740411"
"130"," 9.816450000606217","45.071221074021310"
"131","11.406675001060888","44.930491946760512"
